Ex Num,Type,Text,Output,Original Text,Option A,Option B,Option C,Target
9.0,Base,"There must have been text books around at one time but I can not even identify any titles let alone suppliers. I can identify fewer titles of the red books than I can of the blue books. How likely am I to identify the suppliers of the red books, compared to the blue books?",less likely,,more likely,less likely,not enough info,B
17.0,Base,"BEER tipped on a member of the audience is not everyone 's idea of art, let alone a joke. Beer tipped on a member of the audience is less likely to be considered art by a young man than an old man. Who is more likely to consider beer tipped on a member of the audience to be a joke, a young man or an old man?",an old man,,a young man,an old man,not enough info,B
20.0,Base,"Their minor acts of sabotage -- reminiscent of those of Welsh nationalists -- caused no injuries, let alone deaths. Their minor acts of sabotage were less likely to cause injuries in the winter than in the summer. When were their minor acts of sabotage less likely to cause death, in the summer or in the winter?",in the winter,,in the summer,in the winter,not enough info,B
8.0,Base,"Even so, such vague promises are no grounds for satisfaction, let alone complacency. The promises given yesterday were even less grounds for satisfaction than the promises given today. Which promises are more likely to be grounds for complacency, the promises of today or the promises of yesterday?",promises of today,,promises of today,promises of yesterday,not enough info,A
15.0,Base,"So cold was the Cold War that America had been boycotting the import even of Soviet crab meat, let alone a live and wily Soviet leader. America was more likely to boycott the import of soviet crab meat in the summer than in the winter. How likely was America to boycott a live and wiley Soviet leader in the summer, compared to in the winter?",more likely,,more likely,less likely,not enough info,A
18.0,Base,"Emigration to Australia or New Zealand, let alone the United States, which had its own extreme problems of crime and racial violence, was little more than a trickle. Emigration to Australia was more of a trickle in the summer than it was in the winter. When was emigration to the United States likely to be more of a trickle, in the summer or in the winter?",in the summer,,in the summer,in the winter,not enough info,A
14.0,Base,"Most wives are too bloody old, let alone mothers. More wives from North Dakota are too old than wives from South Dakota. Where are there likely to be more mothers that are too old, North Dakota or South Dakota?",North Dakota,,North Dakota,South Dakota,not enough info,A
13.0,Base,"It described extravagant Easter egg packaging as a gimmick which has nothing to do with protecting the contents, let alone Easter. The Easter egg packaging from Ohio has less to do with protecting the contents than the egg packaging from Indiana does. How likely is the Easter egg packaging from Ohio to have anything to do with Easter, compared to the Easter egg packaging from Indiana?",less likely,,more likely,less likely,not enough info,B
3.0,Base,"It's unsurprising that such an attitude failed to produce competent screenwriters, let alone exciting ones. My attitude produces more competent screenwriters than your attitude. Which attitude is more likely to produce exciting screenwriters, my attitude or your attitude?",my attitude,,my attitude,your attitude,not enough info,A
24.0,Base,"It is not easy to know how far Kafka's fictions can be thought to answer descriptively to the historical realities of his time, let alone to those which his fictions are often thought to have predicted. Kafka's earlier work is more likely to be thought to answer descriptively to the historical realities of his time than Kafka's later work does. Which is more likely to be thought to answer descriptively to the historical realities which his fictions are often thought to have predicted, Kafka's earlier work or Kafka's later work?",Kafka's earlier work,,Kafka's earlier work,Kafka's later work,not enough info,A
6.0,Base,"It is difficult enough for an individual to be consistent let alone a society. An individual was more consistent 5 years ago than they are today. How consistent is a society likely to be today, compared to 5 years ago?",less consistent,,more consistent,less consistent,not enough info,B
4.0,Base,"Beecher's reputation as a preacher, let alone as a Man of God, was not universally accepted. Beecher's reputation as a preacher was weaker in July than in December. When was Beecher more likely to be seen as a Man of God, December or July?",December,,December,July,not enough info,A
1.0,Base,"A ceasefire, let alone lasting peace, will take long negotiation. There was long negotiation in England. There was even longer negotiation in Ireland. Which is more likely, a ceasefire in England or lasting peace in England?",a ceasefire in England,,a ceasefire in England,lasting peace in England,not enough info,A
10.0,Recency Bias,"The Prime Minister of Portugal is more likely to recall such exploits than the Prime Minister of Malta. How many modern Prime Ministers could recall such exploits in their past, let alone dare to boast about them? How likely is the Prime Minister of Malta to boast about these exploits, compared to the Prime Minister of Portugal?",less likely,,more likely,less likely,not enough info,B
18.0,Recency Bias,"Emigration to Australia was more of a trickle in the summer than it was in the winter. Emigration to Australia or New Zealand, let alone the United States, which had its own extreme problems of crime and racial violence, was little more than a trickle. When was emigration to the United States likely to be more of a trickle, in the summer or in the winter?",in the summer,,in the summer,in the winter,not enough info,A
6.0,Recency Bias,"An individual was more consistent 5 years ago than they are today. It is difficult enough for an individual to be consistent let alone a society. How consistent is a society likely to be today, compared to 5 years ago?",less consistent,,more consistent,less consistent,not enough info,B
24.0,Recency Bias,"Kafka's earlier work is more likely to be thought to answer descriptively to the historical realities of his time than Kafka's later work does. It is not easy to know how far Kafka's fictions can be thought to answer descriptively to the historical realities of his time, let alone to those which his fictions are often thought to have predicted. Which is more likely to be thought to answer descriptively to the historical realities which his fictions are often thought to have predicted, Kafka's earlier work or Kafka's later work?",Kafka's earlier work,,Kafka's earlier work,Kafka's later work,not enough info,A
20.0,Recency Bias,"Their minor acts of sabotage were less likely to cause injuries in the winter than in the summer. Their minor acts of sabotage -- reminiscent of those of Welsh nationalists -- caused no injuries, let alone deaths. When were their minor acts of sabotage less likely to cause death, in the summer or in the winter?",in the winter,,in the summer,in the winter,not enough info,B
7.0,Recency Bias,"I would be more distressed to hear of any ladies reading it in the morning than I would be to hear of any ladies reading it at night. I would be distressed to hear of any ladies reading it, let alone a girl of your tender years and experience. How distressed would I likely be to hear of a girl of your tender years and experience reading it in the morning, compared to hearing of a girl of your tender years and experience reading it at night?",more distressed,,more distressed,less distressed,not enough info,A
14.0,Recency Bias,"More wives from North Dakota are too old than wives from South Dakota. Most wives are too bloody old, let alone mothers. Where are there likely to be more mothers that are too old, North Dakota or South Dakota?",North Dakota,,North Dakota,South Dakota,not enough info,A
21.0,Recency Bias,"They have less commitment to themselves in March than they do in August. Largely preoccupied by a sense of not being able to win, they have little sense of commitment to themselves, let alone to a person of the opposite sex. When are they more likely to have a commitment to a person of the opposite sex, in March or in August?",August,,March,August,not enough info,B
11.0,Recency Bias,"My friends from Melbourne have been outside Australia less than my friends from Sydney. Most of my friends haven't been outside Australia, let alone been all over the world. How likely are my friends from Melbourne to have been all over the world, compared to my friends from Sydney?",less likely,,more likely,less likely,not enough info,B
1.0,Recency Bias,"There was long negotiation in England. There was even longer negotiation in Ireland. A ceasefire, let alone lasting peace, will take long negotiation. Which is more likely, a ceasefire in England or lasting peace in England?",a ceasefire in England,,a ceasefire in England,lasting peace in England,not enough info,A
25.0,Recency Bias,"Most Liberals were more opposed to the Labour Party in the fall than they were in the spring. Most Liberals were opposed to the Labour Party let alone to the Communists, but there was an important radical wing of the Party which was attracted by the Peoples Front idea. When were most liberals most likely to be opposed to the Communists, in the spring or in the fall?",fall,,spring,fall,not enough info,B
19.0,Recency Bias,"People are more likely to know other people's names at their gym than they are at their company. People didn't even know most other people's names let alone their dogs. Where are people more likely to know their dogs' names, at their gym or at their company?",at their gym,,at their gym,at their company,not enough info,A
26.0,Recency Bias,"The rights of teachers as employees are more likely to be recognized in Dallas than in Houston. There has been little understanding or recognition of the rights of teachers as employees let alone as adults with needs, expectations and aspirations. Where are the rights of teachers as adults with needs, expectations and asipirations likely to be more recognized, in Dallas or in Houston?",Dallas,,Dallas,Houston,not enough info,A
